CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:01:46 05/18/22,56,56,56,56,56,56,,,47,75,0,2843.99,,47,75,0,2843.99,,47,75,1,2843.99,,47,75,0,2843.99,,47,75,1,2843.99,,47,75,2,2843.99,18.6,
12:01:51 05/18/22,48,48,48,48,48,48,,,47,75,0,4191.15,,47,75,0,4191.15,,47,75,2,4191.15,,47,75,0,4191.15,,47,75,0,4191.15,,47,75,2,4191.15,18.3,
12:01:56 05/18/22,47,47,47,47,47,47,,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,2,2195.36,18.6,
12:02:01 05/18/22,47,47,47,47,47,47,,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,18.3,
12:02:06 05/18/22,52,52,52,52,52,52,,,47,75,1,2843.99,,47,75,2,2843.99,,47,75,2,2843.99,,47,75,2,2843.99,,47,75,2,2843.99,,47,75,0,2843.99,18.0,
12:02:11 05/18/22,47,47,47,47,47,47,,,47,75,0,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,17.8,
12:02:16 05/18/22,54,54,54,54,54,54,,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,2,2195.36,18.1,
12:02:21 05/18/22,56,56,56,56,56,56,,,47,75,1,2195.36,,47,75,2,2195.36,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,17.8,
12:02:26 05/18/22,48,48,48,48,48,48,,,47,75,1,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,18.1,
12:02:31 05/18/22,52,52,52,52,52,52,,,47,75,2,2195.36,,47,75,1,2195.36,,47,75,2,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,2,2195.36,18.8,
12:02:36 05/18/22,47,47,47,47,47,47,,,47,75,1,2320.10,,47,75,1,2320.10,,47,75,1,2320.10,,47,75,0,2320.10,,47,75,1,2320.10,,47,75,3,2320.10,18.1,
12:02:41 05/18/22,47,47,47,47,47,47,,,47,75,2,2320.10,,47,75,2,2320.10,,47,75,2,2320.10,,47,75,2,2320.10,,47,75,1,2320.10,,47,75,2,2320.10,18.1,
12:02:46 05/18/22,47,47,47,47,47,47,,,47,75,0,2669.36,,47,75,1,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,18.2,
12:02:51 05/18/22,47,47,47,47,47,47,,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,17.2,
